,,,,,fixed column F for display mgr = ID,,,,,,,,,,,,fixed column R for display mgr = Avg Units 52wk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,AS-IS SKUs count,,3,3,4,4,4,4,4,4,2,4,4,6,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,(Mer Fill),(Mer Fill),,,,,,,,,,,(Mer fill),,,,,,3 STEP CAYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%Excl = no of CC customerthat only  purchase the product more than 1 times/ no of CC customer who shop in category more than 1 time,,,,,,,,,,,,,%Achieving LRD CASE (As Is),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mer fills for new item,Mer fills for new item,Mer fills for new item,Mer fills for new item,Mer fills for new item,Mer fills for new item,Mer fills for new item,,,,,,Mer fills for new item,,,,,Mer fills forescasted ROS unit  for new item ( unit per store per week),,edlp/avg price/promo = depends on Mer view,"Mer uses
net net cost or  PO cost depends on Mer's view",,SALES and MARGIN IMPACT (TO BE - AS IS),,,,,,,,,STOCK  CAYG,,,,,,,,,,,,WK-2,WK,WK4,,,,,,,,"H = HDE Starline ,T = Talad Starline ,E = Express starline",(Mer fill),(Mer fill),(Mer fill),(Mer fill),(Mer fill),(Mer fill),(Mer fill),(Mer fill),(Mer fill),(Mer fill),(Mer fill),DHB,DHB,DHB,DHB,DHB,DHB,DHB,DHB,DHB,DHB,DHB,DHB,,,,%Achieving LRD SALES (As Is),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department,Section,Subclass,Barcode,TPNA,ID,No. of unit in case,No. of unit in inner,Tray total number,Express Picking type,HDET picking type,EDLP Price by Format,Item Name,AS-IS planograms applied,TO-BE planograms applied,AS-IS Stores Applied,TO-BE stores applied,"Avg Units 52wk/
Forecast new item sales",Supplier Pack Size,Mer Price (incl. vat7%),COST,%MOR (from EDLP),AS-IS Sale Total Units,TO-BE Total Sale Units,Total Units change,AS-IS Total Sales (Ex Vat),TO-BE Total Sales (Ex Vat),Total Sales change (Ex Vat),AS-IS Total Margin (Ex Vat),TO-BE Total Margin (Ex Vat),Total Margin change (Ex Vat),AS-IS Stock Total Units,TO-BE Total Stock Units,Total Units change,AS-IS Total Stocks (Ex Vat),TO-BE Total Stocks (Ex Vat),Total Stocks change (Ex Vat),Price,Price,Price,Sale,Sale,Sale,CAYG 30%,CAYG 50%,CAYG 70%,TOTAL CAYG,Range Tail YYYY,Range Tail (Y/N) Hypermarket,Range Tail (Y/N) Supermarket,Range Tail (Y/N) Mini Supermarket,Week Sold (DHB),AVG Selling Price by Format,Star Line,Supplier Name,Brand,Size Grouping,Pack Type ,Sales xvat / WK,Unit / WK,ROS (Unit),ROS (THB),LFL% (VAL),LFL% (VOL),CGM%,Need state(For Project),Add order (For Project),Exclusivity%,Substitute Code 1,Substitute Description 1,Substitute Score 1,Substitute Code 2,Substitute Description 2,Substitute Score 2,Substitute Code 3,Substitute Description 3,Substitute Score 3,Item Priority,JDA vs Actual,Actual-Actual,Status,Check Range To-be Waterfall ,TV HISENSE N_G1_A B 2 SQF2_target_5071,TV HISENSE N_G1_A B 2 SQF2_target_5524,TV HISENSE N_G10_A E 5 SVX5_target_5014,TV HISENSE N_G10_A E 5 SVX5_target_5069,TV HISENSE N_G10_A E 5 SVX5_target_5130,TV HISENSE N_G10_A F 6 SRZ6_target_5041,TV HISENSE N_G2_A C 3 SRZ3_target_5001,TV HISENSE N_G2_A C 3 SRZ3_target_5022,TV HISENSE N_G2_A F 6 SRZ6_target_5016,TV HISENSE N_G7_A E 5 SVX5_target_5038,TV HISENSE N_G7_A H 8 SVX8_target_5019,TV HISENSE N_G9_A C 3 SRZ3_target_5020,TV HISENSE N_G9_A C 3 SRZ3_target_5120,TV HISENSE N_G9_A E 5 SVX5_target_5049,TV HISENSE N_G9_A F 6 SVX6_target_5052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, -   ,0,0,0,3.6 ,,,,,26.2 ,26.2 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,0.0 ,0.0 ,0.0 ,0.0 ,,-,-,-,,,,,,,,,,,,,,,,,,,,,BX Column,,,,,,,,,9,,3,3,4,4,4,4,4,4,2,4,4,6,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012-ELECTRONICS,602-T.V.,01-0 INCH - 39 INCH,2502100235705,407681236,75582260,1,1,0,U,P,10990,HISENSE ??????? TV HD 32 ????#32A3100G_M,12,12,12,12,0.0 ,1.0 ,,,100.0%,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"7,693.0 ","5,495.0 ","3,297.0 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,0 ,0 , -   ,,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,DIFF,,MAINTAIN,12 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012-ELECTRONICS,602-T.V.,01-0 INCH - 39 INCH,6942147472613,406695850,51397644,1,1,0,U,P,8990,HISENSE#32A3100G-32 ???? ??????? HD,12,12,12,12,0.7 ,1.0 ,,,100.0%,8.0 ,8.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"6,293.0 ","4,495.0 ","2,697.0 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,0 ,0 , -   ,,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,DIFF,,MAINTAIN,12 ,0.6,1.7,0.8,0.3,0.4,0.2,0.6,0.3,,0.6,0.8,,,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012-ELECTRONICS,602-T.V.,03-H+S 50 INCH - 59 INCH,2502100704409,407745361,75667927,1,1,0,U,P,13990,H_HISENSE TV VIDAA UHD 4K 55????#55A6Q_M,12,12,12,12,0.0 ,1.0 ,,,100.0%,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"9,793.0 ","6,995.0 ","4,197.0 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,0 ,0 , -   ,,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,DIFF,,MAINTAIN,12 ,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012-ELECTRONICS,602-T.V.,03-H+S 50 INCH - 59 INCH,6942351415765,407745345,75667911,1,1,0,U,P,13990,H_HISENSE TV VIDAA UHD 4K 55????#55A6Q,12,12,12,12,1.2 ,1.0 ,,,100.0%,14.4 ,14.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"9,793.0 ","6,995.0 ","4,197.0 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,0 ,0 , -   ,,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,DIFF,,MAINTAIN,12 ,,,1.7,0.7,0.6,1.1,1.6,1.1,,0.5,0.8,0.6,2.0,3.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012-ELECTRONICS,602-T.V.,02-40 INCH - 50 INCH,2502100704430,407745364,75667930,1,1,0,U,P,15990,HISENSE TV VIDAA QLED 43 ????#43Q6Q_M,3,3,3,3,0.0 ,1.0 ,,,100.0%,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"11,193.0 ","7,995.0 ","4,797.0 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,0 ,0 , -   ,,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,DIFF,,MAINTAIN,3 ,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012-ELECTRONICS,602-T.V.,02-40 INCH - 50 INCH,8906180391117,407745348,75667914,1,1,0,U,P,15990,HISENSE TV VIDAA QLED 43 ????#43Q6Q,3,3,3,3,0.2 ,1.0 ,,,100.0%,0.6 ,0.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"11,193.0 ","7,995.0 ","4,797.0 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,0 ,0 , -   ,,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,DIFF,,MAINTAIN,3 ,,,,,,,,,0.2,,,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
